"source","af","bg","ca","zh_CN","zh_TW","hr","cs","da","nl","en","en_CA","en_GB","en_US","et","fi","fr","fr_CA","de","el","hi","hu","it","ja","ko","mi","no","pl","pt","pt_BR","ro","ru","sr","es","es_AR","es_419","es_US","sv","tr","uk","vi","eo","gd"
"Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","淺色主題","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Thème clair","Thème clair","Helle Designs","Light Themes","Light Themes","Light Themes","Light Themes","ライトテーマ","밝은 테마","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Светлые темы","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes","Light Themes"
"Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","深色主題","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Thème sombre","Thème sombre","Dunkle Designs","Dark Themes","Dark Themes","Dark Themes","Dark Themes","ダークテーマ","어두운 테마","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Тёмные темы","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes","Dark Themes"
"Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","主題顏色","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Colour","Theme Color","Teema värv","Theme Color","Couleur du thème","Couleur du thème","Design-Farbe","Theme Color","Theme Color","Theme Color","Colore tema","テーマカラー","테마 색상","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Цвет темы","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color","Theme Color"
"Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","檢查更新…","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Otsi värskendusi...","Check for updates...","Recherche de mises à jour...","Recherche de mises à jour...","Nach Updates suchen...","Check for updates...","Check for updates...","Check for updates...","Cerca aggiornamenti...","アップデートを確認","업데이트 확인...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Проверить обновления...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates...","Check for updates..."
"Recents","Recents","Recents","Recents","Recents","最近","Recents","Recents","Recents","Recents","Recents","Recents","Recents","Recents","Hiljutised","Recents","Récents","Récents","Kürzlich","Recents","Recents","Recents","Recenti","Recents","Recents","Recents","Recents","Recents","Recents","Recents","Recents","Последние","Recents","Recents","Recents","Recents","Recents","Recents","Recents","Recents","Recents","Recents","Recents"
"Smileys","Smileys","Smileys","Smileys","Smileys","笑臉","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Emojis","Emojis","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","스마일리","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Смайлы","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys","Smileys"
"People","People","People","People","People","人員","People","People","People","People","People","People","People","People","Inimesed","People","Personnes","Personnes","Leute","People","People","People","People","People","People","People","People","People","People","People","People","Люди","People","People","People","People","People","People","People","People","People","People","People"
"Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","動物與自然","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Loomad & loodus","Animals & Nature","Animaux & Nature","Animaux & Nature","Tiere & Natur","Animals & Nature","Animals & Nature","Animals & Nature","Animali & Natura","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Природа","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature","Animals & Nature"
"Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","食物和飲料","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Toit & jook","Food & Drink","Nourriture & Boissons","Nourriture & Boissons","Essen & Trinken","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Еда","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink","Food & Drink"
"Activities","Activities","Activities","Activities","Activities","活動","Activities","Activities","Activities","Activities","Activities","Activities","Activities","Activities","Tegevused","Activities","Activités","Activités","Aktivitäten","Activities","Activities","Activities","Attività","Activities","Activities","Activities","Activities","Activities","Activities","Activities","Activities","Занятия","Activities","Activities","Activities","Activities","Activities","Activities","Activities","Activities","Activities","Activities","Activities"
